FileName,AbEpiScore-1.0,AbEpiTarget-1.0
fold_22f5_ds_f_seed13_model_3.cif,0.07606,0.356153
fold_22f5_ds_f_seed11_model_4.cif,0.018143,0.274404
fold_22f5_ds_f_seed11_model_3.cif,0.020015,0.294928
fold_22f5_ds_f_seed17_model_4.cif,0.022577,0.348203
fold_22f5_ds_f_seed17_model_0.cif,0.039292,0.375617
fold_22f5_ds_f_seed13_model_4.cif,0.025083,0.394665
fold_22f5_ds_f_seed11_model_0.cif,0.042338,0.372179
fold_22f5_ds_f_seed14_model_0.cif,0.021777,0.33428
fold_22f5_ds_f_seed16_model_3.cif,0.03219,0.368805
fold_22f5_ds_f_seed17_model_2.cif,0.023541,0.360168
fold_22f5_ds_f_seed16_model_2.cif,0.026232,0.357437
fold_22f5_ds_f_seed20_model_2.cif,0.026423,0.345191
fold_22f5_ds_f_seed12_model_1.cif,0.030876,0.320966
fold_22f5_ds_f_seed19_model_1.cif,0.022876,0.337654
fold_22f5_ds_f_seed19_model_3.cif,0.022166,0.281735
fold_22f5_ds_f_seed16_model_4.cif,0.020455,0.229416
fold_22f5_ds_f_seed15_model_3.cif,0.040875,0.39944
fold_22f5_ds_f_seed11_model_2.cif,0.103889,0.39562
fold_22f5_ds_f_seed14_model_3.cif,0.025074,0.343275
fold_22f5_ds_f_seed16_model_1.cif,0.063396,0.382463
fold_22f5_ds_f_seed19_model_0.cif,0.025167,0.322547
fold_22f5_ds_f_seed13_model_1.cif,0.020158,0.297959
fold_22f5_ds_f_seed19_model_2.cif,0.021156,0.224731
fold_22f5_ds_f_seed20_model_4.cif,0.023284,0.352683
fold_22f5_ds_f_seed13_model_0.cif,0.033294,0.329651
fold_22f5_ds_f_seed17_model_1.cif,0.050907,0.394509
fold_22f5_ds_f_seed15_model_1.cif,0.01977,0.246308
fold_22f5_ds_f_seed18_model_1.cif,0.021359,0.196033
fold_22f5_ds_f_seed18_model_2.cif,0.033175,0.357967
fold_22f5_ds_f_seed14_model_2.cif,0.018976,0.265234
fold_22f5_ds_f_seed11_model_1.cif,0.020762,0.324474
fold_22f5_ds_f_seed14_model_4.cif,0.026961,0.269414
fold_22f5_ds_f_seed12_model_4.cif,0.076424,0.445974
fold_22f5_ds_f_seed16_model_0.cif,0.026077,0.386416
fold_22f5_ds_f_seed20_model_1.cif,0.021221,0.300179
fold_22f5_ds_f_seed20_model_3.cif,0.024764,0.313735
fold_22f5_ds_f_seed18_model_0.cif,0.028707,0.321543
fold_22f5_ds_f_seed12_model_3.cif,0.025356,0.297449
fold_22f5_ds_f_seed13_model_2.cif,0.020482,0.270725
fold_22f5_ds_f_seed12_model_0.cif,0.023834,0.305548
fold_22f5_ds_f_seed14_model_1.cif,0.06003,0.412669
fold_22f5_ds_f_seed15_model_0.cif,0.025527,0.345336
fold_22f5_ds_f_seed20_model_0.cif,0.030181,0.40238
fold_22f5_ds_f_seed15_model_2.cif,0.021085,0.361605
fold_22f5_ds_f_seed18_model_4.cif,0.024012,0.360472
fold_22f5_ds_f_seed12_model_2.cif,0.052176,0.386356
fold_22f5_ds_f_seed15_model_4.cif,0.052043,0.398012
fold_22f5_ds_f_seed19_model_4.cif,0.020648,0.339916
fold_22f5_ds_f_seed18_model_3.cif,0.023154,0.33189
fold_22f5_ds_f_seed17_model_3.cif,0.055145,0.394792
